id	sentence1	sentence2	is_duplicate
1	`` B. i. seychellarum '' is smaller and shorter-winged than the other forms .	`` B. i. seychellarum '' is smaller and shorter-other than the winged forms .	0
2	Menna is a hamlet in the parish of Lanivet , England . It should not be confused with Mena in the parish of Ladock , Cornwall .	Menna is a hamlet in the parish of Ladock , Cornwall , England . It should not be confused with Mena in the parish of Lanivet .	0
3	The Liberal Party regained South Coast but lost the outer Sydney seat of Camden .	The Liberal Party lost South Coast but regained the outer Sydney seat of Camden .	0
4	The CD of 12 original Florida Style music contained a duet with Darlene Austin and a featured appearance by `` Nashville Now '' songstress Stella Parton .	The CD of 12 original Florida Style music contained a duet with Stella Parton and a featured appearance by `` Nashville Now '' songstress Darlene Austin .	0
5	Unlike gravity or electrical forces , the nuclear force is effective only at very short distances .	Unlike gravity or nuclear forces , the electrical force is effective only at very short distances .	0
6	Therefore , more weight efficient structure can be considered when plastic behavior is designed .	Therefore , more weight efficient structure can be designed when plastic behavior is considered .	0
7	`` genkwa '' having blackish-purple older branches and reddish flowers 6 -- 7 mm long .	`` genkwa '' having purple-blackish older branches and reddish flowers 6 -- 7 mm long .	0
8	Brome-Missisquoi is a regional county municipality in the Montérégie region of Quebec , Canada . Its seat is Cowansville .	Brome-Missisquoi is a regional county municipality in the Cowansville region of Quebec , Canada . Its seat is Montérégie .	0
9	The Thomas Vista continued production , shifting chassis in 1991 from Navistar to a variant of General Motors chassis shared with the Saf-T-Liner Conventional .	The Thomas Vista continued production , shifting chassis in 1991 from General Motors to a variant of Navistar chassis shared with the Saf-T-Liner Conventional .	0
10	The annual reproductive cycle of males has been described through epididymal smears and become fertile earlier and remain fertile longer than the fertility of females .	The fertile cycle of males has been described through annual reproductive smears and become epididymal earlier and remain fertile longer than the fertility of females .	0
11	CJK Compatibility is a Unicode block containing square symbols ( both CJK and Latin alphanumeric ) encoded for compatibility with east Asian character sets .	CJK Compatibility is a Unicode block containing east Asian symbols ( both CJK and Latin alphanumeric ) encoded for compatibility with square character sets .	0
12	Zigzags are a basic decorative pattern used on pottery , and are often seen in the cuts which separate pieces of ravioli pasta .	Zigzags are a basic decorative pattern seen on pottery , and are often used in the cuts which separate pieces of ravioli pasta .	0
13	There are three counties in South Sudan , a state of Western Bahr el Ghazal .	There are three counties in Western Bahr el Ghazal , a state of South Sudan .	0
14	Everything was dismantled , and the objective was sent to D & G Optical to be refinished .	Everything was refinished , and the objective was sent to D & G Optical to be dismantled .	0
15	White House Farm ( Jefferson County , West Virginia )	Jefferson County , West Virginia ( White House Farm ) .	1
16	Bombay Sapphire is marketed in a flat-coloured , sapphire-sided bottle that bears a picture of Queen Victoria on the label .	Bombay Sapphire is marketed in a flat-sided , sapphire-coloured bottle that bears a picture of Queen Victoria on the label .	0
17	Sidney Kargbo ( born 1 July 1986 in Freetown ) is a Sierra Leonean Azerbaijani footballer who last played for international side Kapaz PFC .	Sidney Kargbo ( born 1 July 1986 in Freetown ) is a Sierra Leonean international footballer who last played for Azerbaijani side Kapaz PFC .	0
18	UNIX System III ( or System 3 ) is a discontinued version of the Unix operating system released by USG 's Unix Support Group ( AT & T ) .	UNIX System III ( or System 3 ) is a discontinued version of the Unix operating system released by AT & T 's Unix Support Group ( USG ) .	0
19	The basketball branch of the club , is the most successful team of professional basketball , they have won the Chilean top-level Chilean League championship 5 times .	The basketball branch of the club , is the most successful team of Chilean basketball , they have won the professional top-level Chilean League championship 5 times .	0
20	Typically these bearings support a rotating shaft in the bore of the outer ring that may be misaligned in respect to the inner ring .	Typically these bearings support a rotating shaft in the bore of the inner ring that may be misaligned in respect to the outer ring .	0
21	He credited the Corona Lab program with the establishment of the infrared wavelength standard in the atomic .	He credited the Corona Lab program with the establishment of the atomic wavelength standard in the infrared .	0
22	As quintessential men of violence , the Spanish are shown to esteem true fighters as much as they scorn the flabby burghers whom they murder with such abandon .	As quintessential men of violence , the Spanish are shown to esteem true fighters as much as they murder the flabby burghers whom they scorn with such abandon .	0
23	The Chargers finally won a game in Week 13 , dominating the Jacksonville Jaguars 38-14 .	The Jacksonville Jaguars finally won a game in Week 13 , dominating the Chargers 38-14 .	0
24	An important sites in the area is at Washington site ( located in Wenatchee ) .	An important sites in the area is at Wenatchee site ( located in Washington ) .	0
25	The KDIC insures banks , mutual investment companies , life and non-life insurance companies , merchant banks and financial savings banks .	The KDIC insures banks , financial investment companies , life and non-life insurance companies , merchant banks and mutual savings banks .	0
26	To celebrate the fifth anniversary of the song Roc Nation executive Lenny Santiago took to Instagram to share how Kanye created the beat within 20 minutes . Lenny recalls :	To celebrate the fifth anniversary of the song , Roc Nation executive Lenny Santiago took to Instagram to share , how Lenny created the beat within 20 minutes . Kanye recalls :	0
27	Human microsomal epoxide hydrolase is coded by EPHX1 gene located on chromosome 1 ( 1q42.12 ) .	Human microsomal epoxide hydrolase is located by EPHX1 gene coded on chromosome 1 ( 1q42.12 ) .	0
28	It is one of four licensed songs ported to Dance Dance Revolution X2 , with new difficulty ratings and new charts using both pads .	It is one of four new songs ported to Dance Dance Revolution X2 , with licensed difficulty ratings and new charts using both pads .	0
29	Llama revolvers had a better standard of manufacture and higher price .	Llama revolvers had a higher standard of manufacture and better price .	0
30	In groups where members activate different identities , decisions will less effective since the social ideas of members are not used to their full extent and participation is unequal .	In groups were members activate social identities decisions will less effective since the different ideas of members are not used to their full extent and participation is unequal .	0
31	New Baltimore was platted in 1831 . A post office called New Baltimore was established in 1837 , and remained in operation until 1904 .	New Baltimore was established in 1831 . A post office called New Baltimore was platted in 1837 , and remained in operation until 1904 .	0
32	Bar 8 does not complete the cadence in the second ( B major ) that was conventional when progressing to the dominant subject in sonata-allegro form .	Bar 8 does not complete the cadence in the dominant ( B major ) that was conventional when progressing to the second subject in sonata-allegro form .	0
33	`` Tarakan '' was placed in reserve on 6 September 1985 , one of three landing craft decommissioned for economic reasons . She was reactivated in 1988 .	`` Tarakan '' was placed in reserve on 6 September , 1985 , one of three landing craft reactivated for economic reasons . She was decommissioned in 1988 .	0
34	`` Everything '' is completely re-recorded without the faded out ending and `` Everything You Do '' was also shortened with new vocals .	`` Everything '' is also shortened without the faded out ending and `` Everything You Do '' was completely re-recorded with new vocals .	0
35	The EIC put the value of the cargo lost when the French captured her at £15,240 .	The EIC lost the value of the cargo captured when the French put her at £15,240 .	0
36	I lov 'd her soon , I lov 'd her late .	I lov 'd her late , I lov 'd her soon	1
37	Madhava Menon appoints his friend , DIG , Madhu ( K. Gopalakrishna Pillai ) to investigate this case and he finds out foul play .	Madhava Menon appoints his friend , DIG , K. Gopalakrishna Pillai ( Madhu ) to investigate this case and he finds out foul play .	1
38	Recent works to the station have seen third shelters and a new entrance to the station installed .	Recent works to the station have seen new shelters and a third entrance to the station installed .	0
39	The apex is smooth with the apical whorl acute .	The apex is acute with the apical whorl smooth .	0
40	The interspaces are brown , the elevations straw-colored .	The interspaces are colored , the elevations straw-brown .	0
41	He was Secretary and Chargé d'Affaires at Peking and Washington , Political Agent and Consul-General in Bulgaria .	He was Secretary and Chargé d'Affaires at Bulgaria and Washington , Political Agent and Consul-General in Peking .	0
42	Jerry looks over Tom 's shoulder and gets punched .	Tom looks over Jerry 's shoulder and gets punched .	0
